quarter,property_type,index
2011-Q1,office,114.8
2011-Q1,retail,116.5
2011-Q2,office,118.9
2011-Q2,retail,117.3
2011-Q3,office,123.3
2011-Q3,retail,120.9
2011-Q4,office,124.5
2011-Q4,retail,121.4
2012-Q1,office,124.5
2012-Q1,retail,122.1
2012-Q2,office,123.4
2012-Q2,retail,122.6
2012-Q3,office,125.8
2012-Q3,retail,123.5
2012-Q4,office,126.2
2012-Q4,retail,123.8
2013-Q1,office,128.9
2013-Q1,retail,125.5
2013-Q2,office,130.8
2013-Q2,retail,128.4
2013-Q3,office,132.1
2013-Q3,retail,129.1
2013-Q4,office,132.8
2013-Q4,retail,129.5
2014-Q1,office,133.5
2014-Q1,retail,129.5
2014-Q2,office,133.5
2014-Q2,retail,129.1
2014-Q3,office,135.6
2014-Q3,retail,128.8
2014-Q4,office,138.8
2014-Q4,retail,130.7
2015-Q1,office,138.6
2015-Q1,retail,130.7
2015-Q2,office,139
2015-Q2,retail,130.1
2015-Q3,office,138.8
2015-Q3,retail,129.7
2015-Q4,office,138.6
2015-Q4,retail,129.6
2016-Q1,office,138.2
2016-Q1,retail,127.1
2016-Q2,office,136.1
2016-Q2,retail,123.1
2016-Q3,office,135.5
2016-Q3,retail,122.3
2016-Q4,office,134.7
2016-Q4,retail,122.6
2017-Q1,office,129.3
2017-Q1,retail,117.7
2017-Q2,office,127.5
2017-Q2,retail,113.9
2017-Q3,office,128
2017-Q3,retail,112.9
2017-Q4,office,131.4
2017-Q4,retail,111.8
2018-Q1,office,133.1
2018-Q1,retail,111.9
2018-Q2,office,135.6
2018-Q2,retail,110.5
2018-Q3,office,135.7
2018-Q3,retail,110.8
2018-Q4,office,138.9
2018-Q4,retail,112.5
2019-Q1,office,143.1
2019-Q1,retail,110.4
2019-Q2,office,144.4
2019-Q2,retail,110.8
2019-Q3,office,138.8
2019-Q3,retail,112
2019-Q4,office,138.1
2019-Q4,retail,114
2020-Q1,office,132.6
2020-Q1,retail,110.5
2020-Q2,office,126.9
2020-Q2,retail,108.8
2020-Q3,office,127.2
2020-Q3,retail,111.2
2020-Q4,office,123.3
2020-Q4,retail,108.9
2021-Q1,office,120
2021-Q1,retail,105.4
2021-Q2,office,121.1
2021-Q2,retail,102.4
2021-Q3,office,118.2
2021-Q3,retail,102.4
